pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,15.500039100064896,16.47842440009117,16.47842440009117,16.47842440009117,16.47842440009117,16.51146740000695,17.477980200084858,17.477980200084858,x,1,0.7937393999891356,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,0,1,1,1,,,,,18.294432000024244,19.294371400028467,19.294371400028467,19.294371400028467,19.294371400028467,19.294371400028467,20.29415020009037,20.29415020009037,v,1,0.3520380000118166,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,0,2,2,2,,,,,20.677482500090264,21.677275800029747,21.677275800029747,21.677275800029747,21.677275800029747,21.677275800029747,22.677121400018223,22.677121400018223,c,1,0.33358730003237724,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,0,3,3,3,,,,,23.027019800036214,24.027095600031316,24.027095600031316,24.027095600031316,24.027095600031316,24.027095600031316,25.027052100049332,25.027052100049332,z,1,0.28353409992996603,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,1,0,4,0,,,,,25.32699390000198,26.326817900058813,26.326817900058813,26.326817900058813,26.326817900058813,26.326817900058813,27.326797800022177,27.326797800022177,x,1,0.348119999980554,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,1,1,5,1,,,,,27.693253300036304,28.693027000059374,28.693027000059374,28.693027000059374,28.693027000059374,28.693027000059374,29.692943800007924,29.692943800007924,v,1,0.2763289000140503,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,1,2,6,2,,,,,29.992764500086196,30.992655400070362,30.992655400070362,30.992655400070362,30.992655400070362,30.992655400070362,31.9926227000542,31.9926227000542,c,1,0.3413903000764549,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,1,3,7,3,,,,,32.35929729999043,33.34245220001321,33.34245220001321,33.34245220001321,33.34245220001321,33.35908790002577,34.358954600058496,34.358954600058496,z,1,0.2195631000213325,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,2,0,8,0,,,,,34.60890570003539,35.60895490006078,35.60895490006078,35.60895490006078,35.60895490006078,35.60895490006078,36.60877120005898,36.60877120005898,x,1,0.27958830003626645,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,2,1,9,1,,,,,36.90914960007649,37.90859630005434,37.90859630005434,37.90859630005434,37.90859630005434,37.90859630005434,38.90834730002098,38.90834730002098,v,1,0.2449544999981299,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,2,2,10,2,,,,,39.17500280006789,40.174914300092496,40.174914300092496,40.174914300092496,40.174914300092496,40.174914300092496,41.174710800056346,41.174710800056346,c,1,0.3682162999175489,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,2,3,11,3,,,,,41.57463699998334,42.5747207000386,42.5747207000386,42.5747207000386,42.5747207000386,42.5747207000386,43.57443050004076,43.57443050004076,z,1,0.2532653999514878,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,3,0,12,0,,,,,43.857768499990925,44.85778449999634,44.85778449999634,44.85778449999634,44.85778449999634,44.85778449999634,45.85747330007143,45.85747330007143,x,1,0.28903859993442893,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,3,1,13,1,,,,,46.174066800042056,47.17393809999339,47.17393809999339,47.17393809999339,47.17393809999339,47.17393809999339,48.173955900012515,48.173955900012515,v,1,0.3172647999599576,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,3,2,14,2,,,,,48.52374830003828,49.52362410002388,49.52362410002388,49.52362410002388,49.52362410002388,49.52362410002388,50.52346639998723,50.52346639998723,c,1,0.2586220999946818,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,3,3,15,3,,,,,50.806912400061265,51.80668720009271,51.80668720009271,51.80668720009271,51.80668720009271,51.80668720009271,52.80652630003169,52.80652630003169,z,1,0.38913329993374646,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,4,0,16,0,,,,,53.22312260000035,54.22303760005161,54.22303760005161,54.22303760005161,54.22303760005161,54.22303760005161,55.22297930007335,55.22297930007335,x,1,0.30143900006078184,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
